
time,frontLDR,topLDR,middleLDR,bottomLDR,topSolenoid,middleSolenoid,bottomSolenoid,
0,1003,969,984,1007,0,0,0,
100,1004,970,984,1007,0,0,0,
200,1004,969,984,1007,0,0,0,
300,1002,969,984,1007,0,0,0,
400,1004,969,984,1007,0,0,0,
500,1003,969,985,1007,0,0,0,
600,1003,969,984,1007,0,0,0,
700,1004,969,985,1007,0,0,0,
800,1004,970,984,1007,0,0,0,
900,1003,969,985,1007,0,0,0,
1000,1005,970,986,1008,0,0,0,
1100,1004,971,985,1007,0,0,0,
1200,1004,971,986,1007,0,0,0,
1300,1004,972,986,1007,0,0,0,
1400,1003,971,986,1008,0,0,0,
1500,1005,972,986,1008,0,0,0,
1600,1005,972,986,1008,0,0,0,
1700,1004,972,986,1007,0,0,0,
1800,1003,972,986,1007,0,0,0,
1900,1004,971,986,1007,0,0,0,
2000,1005,972,986,1008,0,0,0,
2100,1004,971,986,1008,0,0,0,
2200,1004,972,986,1007,0,0,0,
2300,1005,972,987,1007,0,0,0,
2400,1005,972,986,1007,0,0,0,
2500,1005,971,986,1008,0,0,0,
2600,1005,972,986,1008,0,0,0,
2700,1004,971,986,1007,0,0,0,
2800,1004,972,986,1007,0,0,0,
2900,1004,971,984,1007,0,0,0,
3000,1005,972,985,1007,0,0,0,
3100,1004,971,985,1007,0,0,0,
3200,1005,969,986,1007,0,0,0,
3300,1004,971,985,1007,0,0,0,
3400,1004,971,984,1007,0,0,0,
3500,1003,970,985,1007,0,0,0,
3600,1004,971,985,1007,0,0,0,
3700,1002,970,984,1007,0,0,0,
3800,1002,968,985,1007,0,0,0,
3900,1003,970,984,1007,0,0,0,
4000,1004,970,984,1006,0,0,0,
4100,1004,969,984,1007,0,0,0,
4200,1003,970,984,1007,0,0,0,
4300,1003,969,984,1007,0,0,0,
4400,1003,969,985,1007,0,0,0,
4500,1003,970,984,1007,0,0,0,
4600,1004,969,985,1007,0,0,0,
4700,1004,969,984,1007,0,0,0,
4800,1004,970,984,1008,0,0,0,
4900,1004,970,983,1007,0,0,0,
5000,1004,970,985,1007,0,0,0,
5100,1004,970,985,1006,0,0,0,
5200,1004,970,985,1007,0,0,0,
5300,1004,970,985,1008,0,0,0,
5400,1005,971,984,1007,0,0,0,
5500,1005,972,986,1007,0,0,0,
5600,1005,972,987,1007,0,0,0,
5700,1005,973,987,1007,0,0,0,
5800,1006,973,985,1007,0,0,0,
5900,1005,973,987,1007,0,0,0,
6000,1006,973,987,1007,0,0,0,
6100,1006,973,987,1007,0,0,0,
6200,1006,974,987,1007,0,0,0,
6300,1006,973,987,1007,0,0,0,
6400,1007,973,987,1008,0,0,0,
6500,1006,974,987,1007,0,0,0,
6600,1006,974,987,1007,0,0,0,
6700,1006,974,988,1007,0,0,0,
6800,1006,974,987,1007,0,0,0,
6900,1006,974,988,1006,0,0,0,
7000,1006,975,987,1007,0,0,0,
7100,1006,974,988,1007,0,0,0,
7200,1006,974,988,1007,0,0,0,
7300,1007,975,988,1008,0,0,0,
